Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-05-22,232,0.7367974046433392,0.7019974046433393,0.7715974046433391,0.8382820066333417,0.7885677209190561,0.8879962923476273,83.82820066333417,78.85677209190561,88.79962923476273,Grain Filling,2023-10-03,2024-07-30,14.4,11.8,17.9,1.6,76,1010.9,15.6,70,14.85,1742.2500000000005
2024-05-23,233,0.7357237497094067,0.7009237497094067,0.7705237497094066,0.836748213870581,0.7870339281562954,0.8864624995848667,83.6748213870581,78.70339281562954,88.64624995848666,Grain Filling,2023-10-03,2024-07-30,14.1,9.0,20.0,5.2,79,1015.8,7.2,60,14.5,1756.7500000000005
2024-05-24,234,0.7384590497891952,0.7036590497891952,0.7732590497891951,0.840655785413136,0.7909414996988504,0.8903700711274216,84.0655785413136,79.09414996988504,89.03700711274216,Grain Filling,2023-10-03,2024-07-30,13.6,10.7,17.4,4.7,84,1017.6,5.8,87,14.049999999999999,1770.8000000000004
2024-05-25,235,0.7422318577170556,0.7074318577170555,0.7770318577170556,0.8460455110243651,0.7963312253100794,0.8957597967386509,84.6045511024365,79.63312253100794,89.57597967386509,Grain Filling,2023-10-03,2024-07-30,14.1,8.2,18.9,0.7,77,1018.0,4.7,57,13.549999999999999,1784.3500000000004
2024-05-26,236,0.7446837823235609,0.7098837823235609,0.779483782323561,0.8495482604622299,0.7998339747479442,0.8992625461765157,84.95482604622299,79.98339747479442,89.92625461765157,Grain Filling,2023-10-03,2024-07-30,16.0,9.5,21.2,0.1,73,1018.1,6.3,54,15.35,1799.7000000000003
2024-05-27,237,0.7456171469670176,0.7108171469670177,0.7804171469670176,0.850881638524311,0.8011673528100253,0.9005959242385966,85.0881638524311,80.11673528100253,90.05959242385966,Maturity,2023-10-03,2024-07-30,15.7,13.0,20.1,8.2,82,1018.1,6.4,86,16.55,1816.2500000000002
2024-05-28,238,0.7456667778146707,0.7108667778146707,0.7804667778146708,0.8509525397352439,0.8012382540209582,0.9006668254495297,85.0952539735244,80.12382540209582,90.06668254495297,Maturity,2023-10-03,2024-07-30,13.8,10.7,17.0,1.1,70,1019.4,13.3,66,13.85,1830.1000000000001
2024-05-29,239,0.7452103290741218,0.7104103290741217,0.7800103290741218,0.8503004701058883,0.8005861843916025,0.9000147558201741,85.03004701058883,80.05861843916024,90.0014755820174,Maturity,2023-10-03,2024-07-30,13.8,10.0,18.5,2.1,75,1015.0,9.7,96,14.25,1844.3500000000001
2024-05-30,240,0.7443064761661121,0.7095064761661121,0.7791064761661122,0.8490092516658745,0.7992949659515887,0.8987235373801603,84.90092516658746,79.92949659515887,89.87235373801603,Maturity,2023-10-03,2024-07-30,14.6,12.2,18.7,15.5,80,1006.5,11.9,82,15.45,1859.8000000000002
2024-05-31,241,0.7427361985332964,0.7079361985332964,0.7775361985332965,0.8467659979047092,0.7970517121904234,0.896480283618995,84.67659979047092,79.70517121904234,89.6480283618995,Maturity,2023-10-03,2024-07-30,11.8,10.7,12.8,21.2,93,1008.3,13.3,100,11.75,1871.5500000000002
